dataset,class_id,class_name,split,images_with_class
Aboba,0,---,train,9
Aboba,0,---,TOTAL,9
Aboba,1,BMP-BMD,train,1050
Aboba,1,BMP-BMD,TOTAL,1050
Aboba,2,BTR,train,273
Aboba,2,BTR,TOTAL,273
Aboba,3,KAMAZ,train,33
Aboba,3,KAMAZ,TOTAL,33
Aboba,4,MTLB,train,273
Aboba,4,MTLB,TOTAL,273
Aboba,5,REB,train,18
Aboba,5,REB,TOTAL,18
Aboba,6,RLS,train,12
Aboba,6,RLS,TOTAL,12
Aboba,7,RSZO,train,87
Aboba,7,RSZO,TOTAL,87
Aboba,8,SAU,train,159
Aboba,8,SAU,TOTAL,159
Aboba,9,TANK,train,2526
Aboba,9,TANK,TOTAL,2526
Aboba,10,URAL,train,57
Aboba,10,URAL,TOTAL,57
Aboba,11,ZRK,train,102
Aboba,11,ZRK,TOTAL,102
